frameId,isRecorded,isDropped,frameStatus,frameIndex,frameIdDiff,recordedState01
1644141856,1,0,recorded,143,2880.0,1
1644144736,0,1,dropped,144,2880.0,0
1644147616,0,1,dropped,145,2880.0,0
1644150496,1,0,recorded,146,2880.0,1
1644153376,1,0,recorded,147,2880.0,1
1644156256,0,1,dropped,148,2880.0,0
1644159136,1,0,recorded,149,2880.0,1
1644162106,1,0,recorded,150,2970.0,1
1644164896,0,1,dropped,151,2790.0,0
1644169216,0,1,dropped,152,4320.0,0
1644172096,1,0,recorded,153,2880.0,1
1644174976,1,0,recorded,154,2880.0,1
1644177856,0,1,dropped,155,2880.0,0
1644180736,1,0,recorded,156,2880.0,1
1644183616,1,0,recorded,157,2880.0,1
1644186496,0,1,dropped,158,2880.0,0
1644189376,0,1,dropped,159,2880.0,0
1644192256,1,0,recorded,160,2880.0,1
1644195136,1,0,recorded,161,2880.0,1
1644198016,0,1,dropped,162,2880.0,0
1644200896,1,0,recorded,163,2880.0,1
1644205216,1,0,recorded,164,4320.0,1
1644208096,0,1,dropped,165,2880.0,0
1644210976,0,1,dropped,166,2880.0,0
1644213856,1,0,recorded,167,2880.0,1
1644216736,1,0,recorded,168,2880.0,1
1644219616,0,1,dropped,169,2880.0,0
1644222496,0,1,dropped,170,2880.0,0
1644225376,1,0,recorded,171,2880.0,1
1644228256,1,0,recorded,172,2880.0,1
1644231136,0,1,dropped,173,2880.0,0
1644234106,0,1,dropped,174,2970.0,0
1644236896,1,0,recorded,175,2790.0,1
1644241216,1,0,recorded,176,4320.0,1
1644244096,0,1,dropped,177,2880.0,0
1644246976,1,0,recorded,178,2880.0,1
1644249856,1,0,recorded,179,2880.0,1
1644252736,0,1,dropped,180,2880.0,0
1644255616,0,1,dropped,181,2880.0,0
1644258496,1,0,recorded,182,2880.0,1
1644261376,1,0,recorded,183,2880.0,1
1644264256,0,1,dropped,184,2880.0,0
1644267136,1,0,recorded,185,2880.0,1
1644270016,1,0,recorded,186,2880.0,1
1644272896,0,1,dropped,187,2880.0,0
1644277396,1,0,recorded,188,4500.0,1
1644280096,1,0,recorded,189,2700.0,1
