actualSlackMs, receiveSlackMs, decodeSlackMs, receiveTimeMs, decodeStartMs, decodeFinishMs, desiredReceiveTimeMs, desiredDecodeStartMs
21.0, 147.0, 170.0, 269982459.0, 269982480.0, 269982483.0, 269982606.0, 269982629.0
150.0, 150.0, 173.0, 269982489.0, 269982639.0, 269982645.0, 269982639.0, 269982662.0
171.0, 149.0, 172.0, 269982633.0, 269982804.0, 269982813.0, 269982782.0, 269982805.0
21.0, 149.0, 172.0, 269982794.0, 269982815.0, 269982818.0, 269982943.0, 269982966.0
148.0, 149.0, 172.0, 269982825.0, 269982973.0, 269982981.0, 269982974.0, 269982997.0
29.0, 149.0, 172.0, 269982953.0, 269982982.0, 269982986.0, 269983102.0, 269983125.0
136.0, 146.0, 169.0, 269983005.0, 269983141.0, 269983148.0, 269983151.0, 269983174.0
20.0, 148.0, 171.0, 269983130.0, 269983150.0, 269983153.0, 269983278.0, 269983301.0
153.0, 143.0, 166.0, 269983167.0, 269983320.0, 269983327.0, 269983310.0, 269983333.0
40.0, 149.0, 172.0, 269983289.0, 269983329.0, 269983332.0, 269983438.0, 269983461.0
166.0, 150.0, 173.0, 269983321.0, 269983487.0, 269983495.0, 269983471.0, 269983494.0
32.0, 150.0, 173.0, 269983464.0, 269983496.0, 269983500.0, 269983614.0, 269983637.0
155.0, 147.0, 170.0, 269983499.0, 269983654.0, 269983663.0, 269983646.0, 269983669.0
38.0, 147.0, 170.0, 269983627.0, 269983665.0, 269983668.0, 269983774.0, 269983797.0
161.0, 147.0, 170.0, 269983660.0, 269983821.0, 269983825.0, 269983807.0, 269983830.0
18.0, 143.0, 166.0, 269983808.0, 269983826.0, 269983830.0, 269983951.0, 269983974.0
156.0, 151.0, 174.0, 269983832.0, 269983988.0, 269983993.0, 269983983.0, 269984006.0
31.0, 147.0, 170.0, 269983963.0, 269983994.0, 269983998.0, 269984110.0, 269984133.0
178.0, 147.0, 170.0, 269983996.0, 269984174.0, 269984177.0, 269984143.0, 269984166.0
